Date,state,Confirmed,Death,Cured
6/2/2020,Bihar,3926,24,1900
6/3/2020,Andhra Pradesh,3898,64,2421
6/3/2020,Assam,1513,4,324
6/3/2020,Bihar,4155,24,1946
6/4/2020,Andhra Pradesh,4080,68,2466
6/4/2020,Assam,1672,4,413
6/4/2020,Bihar,4390,25,2077
6/5/2020,Andhra Pradesh,4223,71,2539
6/5/2020,Assam,1988,4,442
6/5/2020,Bihar,4493,29,2210
6/6/2020,Andhra Pradesh,4303,73,2576
6/6/2020,Assam,2153,4,498
6/6/2020,Bihar,4596,29,2225
6/7/2020,Andhra Pradesh,4510,73,2620
6/7/2020,Assam,2397,4,547
6/7/2020,Bihar,4915,30,2425
6/8/2020,Andhra Pradesh,4708,75,2682
6/8/2020,Assam,2565,4,615
6/8/2020,Bihar,5088,30,2480
6/9/2020,Andhra Pradesh,4851,75,2745
6/9/2020,Assam,2776,4,665
6/9/2020,Bihar,5202,31,2499
6/10/2020,Andhra Pradesh,5070,77,2802
6/10/2020,Assam,2937,4,1085
6/10/2020,Bihar,5459,32,2864
6/11/2020,Andhra Pradesh,5269,78,2899
6/11/2020,Assam,3092,4,1249
6/11/2020,Bihar,5710,33,3071
6/12/2020,Andhra Pradesh,5429,80,3048
6/12/2020,Assam,3319,6,1432
6/12/2020,Bihar,5983,36,3266
6/13/2020,Andhra Pradesh,5680,80,3105
6/13/2020,Assam,3498,8,1537
6/13/2020,Bihar,6103,36,3587
6/14/2020,Andhra Pradesh,5965,82,3195
6/14/2020,Assam,3718,8,1584
6/14/2020,Bihar,6290,39,3956
6/15/2020,Andhra Pradesh,6163,84,3314
6/15/2020,Assam,4049,8,1960
6/15/2020,Bihar,6470,39,4170
6/16/2020,Andhra Pradesh,6456,88,3316
6/16/2020,Assam,4158,8,2166
6/16/2020,Bihar,6650,40,4409
6/17/2020,Andhra Pradesh,6841,88,3509
6/17/2020,Assam,4319,8,2166
6/17/2020,Bihar,6778,41,4644
6/18/2020,Andhra Pradesh,7071,90,3641
6/18/2020,Assam,4605,8,2642
6/18/2020,Bihar,6942,44,4926
6/19/2020,Andhra Pradesh,7518,92,3789
6/19/2020,Assam,4777,9,2654
6/19/2020,Bihar,7025,44,5056
6/20/2020,Andhra Pradesh,7961,96,3917
6/20/2020,Assam,4904,9,3039
6/20/2020,Bihar,7181,50,5098
6/21/2020,Andhra Pradesh,8452,101,4111
6/21/2020,Assam,4904,9,3039
6/21/2020,Bihar,7533,52,5529
6/22/2020,Andhra Pradesh,8999,106,4331
6/22/2020,Assam,5388,9,3360
6/22/2020,Bihar,7612,53,5580
6/23/2020,Andhra Pradesh,9372,111,4495
6/23/2020,Assam,5586,9,3521
6/23/2020,Bihar,7825,55,5781
6/24/2020,Andhra Pradesh,10002,119,4599
6/24/2020,Assam,5831,9,3762
6/24/2020,Bihar,8153,56,6104
6/25/2020,Andhra Pradesh,10331,124,4779
6/25/2020,Assam,6198,9,3958
6/25/2020,Bihar,8209,57,6113
6/27/2020,Andhra Pradesh,11489,148,5196
6/27/2020,Assam,6607,9,4259
6/27/2020,Bihar,8716,58,6762
6/28/2020,Andhra Pradesh,12285,157,5480
